Date,Trait,Method,Band_or_Wavelength,Feature_Importance
20250531,LMA,ELC,13,0.009860067282496474
20250531,LMA,ELC,14,0.009997478129274647
20250531,LMA,ELC,15,0.010037622207714416
20250531,LMA,ELC,16,0.009180984839217957
20250531,LMA,ELC,17,0.008231889228484179
20250531,LMA,ELC,18,0.007687006481581123
20250531,LMA,ELC,19,0.006704783514626371
20250531,LMA,ELC,20,0.006214935837827351
20250531,LMA,ELC,21,0.0065728990737025875
20250531,LMA,ELC,22,0.008389506416366713
20250531,LMA,ELC,23,0.007763322567411535
20250531,LMA,ELC,24,0.013481454952444844
20250531,LMA,ELC,25,0.008648970492386592
20250531,LMA,ELC,26,0.016276930926397464
20250531,LMA,ELC,27,0.02145036965112824
20250531,LMA,ELC,28,0.020255080133621244
20250531,LMA,ELC,29,0.016144808973860482
20250531,LMA,ELC,30,0.02047865691738114
20250531,LMA,ELC,31,0.019853904901496622
20250531,LMA,ELC,32,0.017410487483368344
20250531,LMA,ELC,33,0.013418074036144905
20250531,LMA,ELC,34,0.01676837446683295
20250531,LMA,ELC,35,0.021027454602383387
20250531,LMA,ELC,36,0.014081624856605348
20250531,LMA,ELC,37,0.014028801475645461
20250531,LMA,ELC,38,0.01251855479922106
20250531,LMA,ELC,39,0.016064716678334187
20250531,LMA,ELC,40,0.011250279416652633
20250531,LMA,ELC,41,0.010817672469654423
20250531,LMA,ELC,42,0.007013611166828288
20250531,LMA,ELC,43,0.016190079771403472
20250531,LMA,ELC,44,0.034430478363102306
20250531,LMA,ELC,45,0.05415049698395745
20250531,LMA,ELC3,1,0.05267129922839704
20250531,LMA,ELC3,2,0.04226673594314839
20250531,LMA,ELC3,3,0.03411250359170187
20250531,LMA,ELC3,4,0.03937195086839369
20250531,LMA,ELC3,5,0.027526321284772483
20250531,LMA,ELC3,6,0.04896678906933577
20250531,LMA,ELC3,7,0.03972516800568442
20250531,LMA,ELC3,8,0.029431762162575276
20250531,LMA,ELC3,9,0.04410492806493834
20250531,LMA,ELC3,10,0.07701148191154009
20250531,LMA,ELC3,11,0.05393543696076515
20250531,LMA,ELC3,12,0.024474243811193265
20250531,LMA,ELC3,13,0.009860067282496474
20250531,LMA,ELC3,14,0.009997478129274647
20250531,LMA,ELC3,15,0.010037622207714416
20250531,LMA,ELC3,16,0.009180984839217957
20250531,LMA,ELC3,17,0.008231889228484179
20250531,LMA,ELC3,18,0.007687006481581123
20250531,LMA,ELC3,19,0.006704783514626371
20250531,LMA,ELC3,20,0.006214935837827351
20250531,LMA,ELC3,21,0.0065728990737025875
20250531,LMA,ELC3,22,0.008389506416366713
20250531,LMA,ELC3,23,0.007763322567411535
20250531,LMA,ELC3,24,0.013481454952444844
20250531,LMA,ELC3,25,0.008648970492386592
20250531,LMA,ELC3,26,0.016276930926397464
20250531,LMA,ELC3,27,0.02145036965112824
20250531,LMA,ELC3,28,0.020255080133621244
20250531,LMA,ELC3,29,0.016144808973860482
20250531,LMA,ELC3,30,0.02047865691738114
20250531,LMA,ELC3,31,0.019853904901496622
20250531,LMA,ELC3,32,0.017410487483368344
20250531,LMA,ELC3,33,0.013418074036144905
20250531,LMA,ELC3,34,0.01676837446683295
20250531,LMA,ELC3,35,0.021027454602383387
20250531,LMA,ELC3,36,0.014081624856605348
20250531,LMA,ELC3,37,0.014028801475645461
20250531,LMA,ELC3,38,0.01251855479922106
20250531,LMA,ELC3,39,0.016064716678334187
20250531,LMA,ELC3,40,0.011250279416652633
20250531,LMA,ELC3,41,0.010817672469654423
20250531,LMA,ELC3,42,0.007013611166828288
20250531,LMA,ELC3,43,0.016190079771403472
20250531,LMA,ELC3,44,0.034430478363102306
20250531,LMA,ELC3,45,0.05415049698395745
20250531,LAI,RTM,1,0.007162342832954078
20250531,LAI,RTM,2,0.00516947617058797
20250531,LAI,RTM,3,0.003782206934498528
20250531,LAI,RTM,4,0.0038624466230774
20250531,LAI,RTM,5,0.006952070632520591
20250531,LAI,RTM,6,0.006593825675385713
20250531,LAI,RTM,7,0.0066729554273970895
20250531,LAI,RTM,8,0.006691774321039677
20250531,LAI,RTM,9,0.00424879137782223
20250531,LAI,RTM,10,0.006048720964934444
20250531,LAI,RTM,11,0.005959890399028332
20250531,LAI,RTM,12,0.010953240559901805
20250531,LAI,RTM,13,0.006669166177124368
20250531,LAI,RTM,14,0.004519450716747502
20250531,LAI,RTM,15,0.00860233335364134
20250531,LAI,RTM,16,0.008130987836283955
20250531,LAI,RTM,17,0.006220262798364724
20250531,LAI,RTM,18,0.002045850918160762
20250531,LAI,RTM,19,0.0068717094880107145
20250531,LAI,RTM,20,0.007386058045403913
20250531,LAI,RTM,21,0.004054620081400058
20250531,LAI,RTM,22,0.008106005328333178
20250531,LAI,RTM,23,0.011532248319041065
20250531,LAI,RTM,24,0.02162213807784762
20250531,LAI,RTM,25,0.017947055443740593
20250531,LAI,RTM,26,0.02735831260024661
20250531,LAI,RTM,27,0.08124678994277777
20250531,LAI,RTM,28,0.0451055683732627
20250531,LAI,RTM,29,0.06660066535142843
20250531,LAI,RTM,30,0.05021576859927448
20250531,LAI,RTM,31,0.06397518159120116
20250531,LAI,RTM,32,0.0651489151650287
20250531,LAI,RTM,33,0.047961535181176865
20250531,LAI,RTM,34,0.0341466480537024
20250531,LAI,RTM,35,0.043653631949734116
20250531,LAI,RTM,36,0.012945304911851595
20250531,LAI,RTM,37,0.020723530697140138
20250531,LAI,RTM,38,0.017722751483504804
20250531,LAI,RTM,39,0.02591138184645652
20250531,LAI,RTM,40,0.023973191029973667
20250531,LAI,RTM,41,0.033387069356038704
20250531,LAI,RTM,42,0.019609434015522037
20250531,LAI,RTM,43,0.04009171972784735
20250531,LAI,RTM,44,0.05289461937988482
20250531,LAI,RTM,45,0.03952235224069952
20250531,LAI,ELC,1,0.002520623611487266
20250531,LAI,ELC,2,0.003198557626428763
20250531,LAI,ELC,3,0.0024893088155228536
20250531,LAI,ELC,4,0.0030632519840986193
20250531,LAI,ELC,5,0.004147177182876619
20250531,LAI,ELC,6,0.008132759159697649
20250531,LAI,ELC,7,0.005124176507798776
20250531,LAI,ELC,8,0.003878833964561361
20250531,LAI,ELC,9,0.002748369326523674
20250531,LAI,ELC,10,0.010770279397541774
20250531,LAI,ELC,11,0.0026595174965854647
20250531,LAI,ELC,12,0.0049662432465855345
20250531,LAI,ELC,13,0.013115286283553665
20250531,LAI,ELC,14,0.00871832152663602
20250531,LAI,ELC,15,0.009795172585646984
20250531,LAI,ELC,16,0.00987090665546971
20250531,LAI,ELC,17,0.013965220523125604
20250531,LAI,ELC,18,0.005932838561523946
20250531,LAI,ELC,19,0.007611935463544503
20250531,LAI,ELC,20,0.00759730971136679
20250531,LAI,ELC,21,0.009073818626732098
20250531,LAI,ELC,22,0.007433045134770973
20250531,LAI,ELC,23,0.016470542896689255
20250531,LAI,ELC,24,0.03656768914678801
20250531,LAI,ELC,25,0.0345365832099135
20250531,LAI,ELC,26,0.023438193974693284
20250531,LAI,ELC,27,0.051434269233366456
20250531,LAI,ELC,28,0.05151626896304327
20250531,LAI,ELC,29,0.037437101331756505
20250531,LAI,ELC,30,0.05084073743450888
20250531,LAI,ELC,31,0.05741840745571828
20250531,LAI,ELC,32,0.02913617126276958
20250531,LAI,ELC,33,0.022866535631544224
20250531,LAI,ELC,34,0.04145310140352956
20250531,LAI,ELC,35,0.05632359082454845
20250531,LAI,ELC,36,0.012796649524997256
20250531,LAI,ELC,37,0.03199548546617507
20250531,LAI,ELC,38,0.025165021320514874
20250531,LAI,ELC,39,0.034449870145103076
20250531,LAI,ELC,40,0.037444734932354215
20250531,LAI,ELC,41,0.028552052589930637
20250531,LAI,ELC,42,0.01777959667695766
20250531,LAI,ELC,43,0.04613578368386219
20250531,LAI,ELC,44,0.05871111331378759
20250531,LAI,ELC,45,0.0507175461853695
20250531,LAI,ELC3,1,0.002520623611487266
20250531,LAI,ELC3,2,0.003198557626428763
20250531,LAI,ELC3,3,0.0024893088155228536
20250531,LAI,ELC3,4,0.0030632519840986193
20250531,LAI,ELC3,5,0.004147177182876619
20250531,LAI,ELC3,6,0.008132759159697649
20250531,LAI,ELC3,7,0.005124176507798776
20250531,LAI,ELC3,8,0.003878833964561361
20250531,LAI,ELC3,9,0.002748369326523674
20250531,LAI,ELC3,10,0.010770279397541774
20250531,LAI,ELC3,11,0.0026595174965854647
20250531,LAI,ELC3,12,0.0049662432465855345
20250531,LAI,ELC3,13,0.013115286283553665
20250531,LAI,ELC3,14,0.00871832152663602
20250531,LAI,ELC3,15,0.009795172585646984
20250531,LAI,ELC3,16,0.00987090665546971
20250531,LAI,ELC3,17,0.013965220523125604
20250531,LAI,ELC3,18,0.005932838561523946
20250531,LAI,ELC3,19,0.007611935463544503
20250531,LAI,ELC3,20,0.00759730971136679
20250531,LAI,ELC3,21,0.009073818626732098
20250531,LAI,ELC3,22,0.007433045134770973
20250531,LAI,ELC3,23,0.016470542896689255
20250531,LAI,ELC3,24,0.03656768914678801
20250531,LAI,ELC3,25,0.0345365832099135
20250531,LAI,ELC3,26,0.023438193974693284
20250531,LAI,ELC3,27,0.051434269233366456
20250531,LAI,ELC3,28,0.05151626896304327
20250531,LAI,ELC3,29,0.037437101331756505
20250531,LAI,ELC3,30,0.05084073743450888
20250531,LAI,ELC3,31,0.05741840745571828
20250531,LAI,ELC3,32,0.02913617126276958
20250531,LAI,ELC3,33,0.022866535631544224
20250531,LAI,ELC3,34,0.04145310140352956
20250531,LAI,ELC3,35,0.05632359082454845
20250531,LAI,ELC3,36,0.012796649524997256
20250531,LAI,ELC3,37,0.03199548546617507
20250531,LAI,ELC3,38,0.025165021320514874
20250531,LAI,ELC3,39,0.034449870145103076
20250531,LAI,ELC3,40,0.037444734932354215
20250531,LAI,ELC3,41,0.028552052589930637
20250531,LAI,ELC3,42,0.01777959667695766
20250531,LAI,ELC3,43,0.04613578368386219
20250531,LAI,ELC3,44,0.05871111331378759
20250531,LAI,ELC3,45,0.0507175461853695
20250531,LNC,RTM,1,0.012821743533569602
20250531,LNC,RTM,2,0.011193422974749446
20250531,LNC,RTM,3,0.009275357834894478
20250531,LNC,RTM,4,0.012703333481321837
20250531,LNC,RTM,5,0.012602102423897355
20250531,LNC,RTM,6,0.01282996740799892
20250531,LNC,RTM,7,0.015260209589611773
20250531,LNC,RTM,8,0.011159080663675365
20250531,LNC,RTM,9,0.008590434239256674
20250531,LNC,RTM,10,0.007135867991051439
20250531,LNC,RTM,11,0.010114738921144464
20250531,LNC,RTM,12,0.016792002797581786
20250531,LNC,RTM,13,0.0194629402337723
20250531,LNC,RTM,14,0.017905750785184037
20250531,LNC,RTM,15,0.01758700845606915
20250531,LNC,RTM,16,0.018083606876998122
20250531,LNC,RTM,17,0.018218055569434736
20250531,LNC,RTM,18,0.010975169262692408
20250531,LNC,RTM,19,0.00485510407420651
20250531,LNC,RTM,20,0.01383647232882539
20250531,LNC,RTM,21,0.011995662381274516
20250531,LNC,RTM,22,0.009750262807346212
20250531,LNC,RTM,23,0.020221499351819543
20250531,LNC,RTM,24,0.055682328185374684
20250531,LNC,RTM,25,0.0388395308190539
20250531,LNC,RTM,26,0.020581087039704654
20250531,LNC,RTM,27,0.02449621120882067
20250531,LNC,RTM,28,0.026900239281067405
20250531,LNC,RTM,29,0.026237580760654345
20250531,LNC,RTM,30,0.029863687556704648
20250531,LNC,RTM,31,0.03824106147654869
20250531,LNC,RTM,32,0.03668413760788581
20250531,LNC,RTM,33,0.023366331150759964
20250531,LNC,RTM,34,0.029865300240794628
20250531,LNC,RTM,35,0.05874691975819187
20250531,LNC,RTM,36,0.013940068290246873
20250531,LNC,RTM,37,0.030292142559684116
20250531,LNC,RTM,38,0.022813953980534506
20250531,LNC,RTM,39,0.030254736982025642
20250531,LNC,RTM,40,0.023040223957017873
20250531,LNC,RTM,41,0.03310030281817342
20250531,LNC,RTM,42,0.012331971450662036
20250531,LNC,RTM,43,0.03592130646917597
20250531,LNC,RTM,44,0.05030842894550767
20250531,LNC,RTM,45,0.035122655475034584
20250531,LNC,ELC,1,0.005411521901060603
20250531,LNC,ELC,2,0.005064215066391411
20250531,LNC,ELC,3,0.005632732256841551
20250531,LNC,ELC,4,0.00829787076990814
20250531,LNC,ELC,5,0.016161562490400124
20250531,LNC,ELC,6,0.015954114615695257
20250531,LNC,ELC,7,0.012230587062552539
20250531,LNC,ELC,8,0.013822553784520788
20250531,LNC,ELC,9,0.0069765762321352676
20250531,LNC,ELC,10,0.018248841487514905
20250531,LNC,ELC,11,0.01111686703297412
20250531,LNC,ELC,12,0.009773869813058188
20250531,LNC,ELC,13,0.0038934154404804246
20250531,LNC,ELC,14,0.002409798034424159
20250531,LNC,ELC,15,0.008952528395255283
20250531,LNC,ELC,16,0.002956954893887005
20250531,LNC,ELC,17,0.005694307635830892
20250531,LNC,ELC,18,0.0031476082097147994
20250531,LNC,ELC,19,0.0015852195323061383
20250531,LNC,ELC,20,0.0030400714694088556
20250531,LNC,ELC,21,0.005103290608831022
20250531,LNC,ELC,22,0.006425805210727898
20250531,LNC,ELC,23,0.00341343442950868
20250531,LNC,ELC,24,0.020195761500200755
20250531,LNC,ELC,25,0.008120262603997789
20250531,LNC,ELC,26,0.01338127409596262
20250531,LNC,ELC,27,0.03308474420309263
20250531,LNC,ELC,28,0.03109316433734205
20250531,LNC,ELC,29,0.02309762811948292
20250531,LNC,ELC,30,0.05459239035255307
20250531,LNC,ELC,31,0.04826403130579353
20250531,LNC,ELC,32,0.027023493883206528
20250531,LNC,ELC,33,0.03093451560416558
20250531,LNC,ELC,34,0.043228995599791306
20250531,LNC,ELC,35,0.06827554512866335
20250531,LNC,ELC,36,0.0145951747667294
20250531,LNC,ELC,37,0.03107963633276828
20250531,LNC,ELC,38,0.01921513618974076
20250531,LNC,ELC,39,0.043484709940949454
20250531,LNC,ELC,40,0.03780115307012015
20250531,LNC,ELC,41,0.046396686571506765
20250531,LNC,ELC,42,0.015494348823427742
20250531,LNC,ELC,43,0.045519987366566594
20250531,LNC,ELC,44,0.11851324668798775
20250531,LNC,ELC,45,0.051294367142522945
20250531,LNC,ELC3,1,0.005411521901060603
20250531,LNC,ELC3,2,0.005064215066391411
20250531,LNC,ELC3,3,0.005632732256841551
20250531,LNC,ELC3,4,0.00829787076990814
20250531,LNC,ELC3,5,0.016161562490400124
20250531,LNC,ELC3,6,0.015954114615695257
20250531,LNC,ELC3,7,0.012230587062552539
20250531,LNC,ELC3,8,0.013822553784520788
20250531,LNC,ELC3,9,0.0069765762321352676
20250531,LNC,ELC3,10,0.018248841487514905
20250531,LNC,ELC3,11,0.01111686703297412
20250531,LNC,ELC3,12,0.009773869813058188
20250531,LNC,ELC3,13,0.0038934154404804246
20250531,LNC,ELC3,14,0.002409798034424159
20250531,LNC,ELC3,15,0.008952528395255283
20250531,LNC,ELC3,16,0.002956954893887005
20250531,LNC,ELC3,17,0.005694307635830892
20250531,LNC,ELC3,18,0.0031476082097147994
20250531,LNC,ELC3,19,0.0015852195323061383
20250531,LNC,ELC3,20,0.0030400714694088556
20250531,LNC,ELC3,21,0.005103290608831022
20250531,LNC,ELC3,22,0.006425805210727898
20250531,LNC,ELC3,23,0.00341343442950868
20250531,LNC,ELC3,24,0.020195761500200755
20250531,LNC,ELC3,25,0.008120262603997789
20250531,LNC,ELC3,26,0.01338127409596262
20250531,LNC,ELC3,27,0.03308474420309263
20250531,LNC,ELC3,28,0.03109316433734205
20250531,LNC,ELC3,29,0.02309762811948292
20250531,LNC,ELC3,30,0.05459239035255307
20250531,LNC,ELC3,31,0.04826403130579353
20250531,LNC,ELC3,32,0.027023493883206528
20250531,LNC,ELC3,33,0.03093451560416558
20250531,LNC,ELC3,34,0.043228995599791306
20250531,LNC,ELC3,35,0.06827554512866335
20250531,LNC,ELC3,36,0.0145951747667294
20250531,LNC,ELC3,37,0.03107963633276828
20250531,LNC,ELC3,38,0.01921513618974076
20250531,LNC,ELC3,39,0.043484709940949454
20250531,LNC,ELC3,40,0.03780115307012015
20250531,LNC,ELC3,41,0.046396686571506765
20250531,LNC,ELC3,42,0.015494348823427742
20250531,LNC,ELC3,43,0.045519987366566594
20250531,LNC,ELC3,44,0.11851324668798775
20250531,LNC,ELC3,45,0.051294367142522945
20250531,CNC,RTM,1,0.015646290525182353
20250531,CNC,RTM,2,0.005013307621510514
20250531,CNC,RTM,3,0.004757911118617288
20250531,CNC,RTM,4,0.007265632357652577
20250531,CNC,RTM,5,0.01138362648357551
20250531,CNC,RTM,6,0.008277728254722585
20250531,CNC,RTM,7,0.014566448634075652
20250531,CNC,RTM,8,0.006724707639905686
20250531,CNC,RTM,9,0.003926478519176371
20250531,CNC,RTM,10,0.004389865355373077
20250531,CNC,RTM,11,0.00398941399140609
20250531,CNC,RTM,12,0.004568697592597501
20250531,CNC,RTM,13,0.02141660627922005
20250531,CNC,RTM,14,0.01025628687672238
20250531,CNC,RTM,15,0.011618646242548731
20250531,CNC,RTM,16,0.01146452810576028
20250531,CNC,RTM,17,0.019012958860305136
20250531,CNC,RTM,18,0.013050954372811271
20250531,CNC,RTM,19,0.007866784767812978
20250531,CNC,RTM,20,0.004743251856522071
20250531,CNC,RTM,21,0.01353385209076777
20250531,CNC,RTM,22,0.013458429250056473
20250531,CNC,RTM,23,0.024715872919345388
20250531,CNC,RTM,24,0.05589823251770827
20250531,CNC,RTM,25,0.04521676630942669
20250531,CNC,RTM,26,0.02673523743662192
20250531,CNC,RTM,27,0.03363440675077769
20250531,CNC,RTM,28,0.03769900468373173
20250531,CNC,RTM,29,0.04813111245271756
20250531,CNC,RTM,30,0.03921385721681696
20250531,CNC,RTM,31,0.03908312584150776
20250531,CNC,RTM,32,0.04382492725929073
20250531,CNC,RTM,33,0.026024717517810193
20250531,CNC,RTM,34,0.030953388625642824
20250531,CNC,RTM,35,0.05258105450475066
20250531,CNC,RTM,36,0.01892041096381657
20250531,CNC,RTM,37,0.01783050175820669
20250531,CNC,RTM,38,0.025585349566132932
20250531,CNC,RTM,39,0.031118597026832995
20250531,CNC,RTM,40,0.01668794623366194
20250531,CNC,RTM,41,0.032579622977602696
20250531,CNC,RTM,42,0.01088239435265014
20250531,CNC,RTM,43,0.03371444364862673
20250531,CNC,RTM,44,0.05860224516705962
20250531,CNC,RTM,45,0.03343437747293905
20250531,CNC,ELC,1,0.0019893888897019227
20250531,CNC,ELC,2,0.0018714318455568114
20250531,CNC,ELC,3,0.002718276459751261
20250531,CNC,ELC,4,0.0036809021388781596
20250531,CNC,ELC,5,0.004039605840550101
20250531,CNC,ELC,6,0.006325504736007366
20250531,CNC,ELC,7,0.004631540832341003
20250531,CNC,ELC,8,0.004482399902941507
20250531,CNC,ELC,9,0.0020152041740571654
20250531,CNC,ELC,10,0.00860578062923471
20250531,CNC,ELC,11,0.0019438536435289334
20250531,CNC,ELC,12,0.0057829926614925645
20250531,CNC,ELC,13,0.0035579033690960487
20250531,CNC,ELC,14,0.0017641459508566184
20250531,CNC,ELC,15,0.006409368742983562
20250531,CNC,ELC,16,0.0047685985220539875
20250531,CNC,ELC,17,0.0016725997773930415
20250531,CNC,ELC,18,0.0015908962924537022
20250531,CNC,ELC,19,0.0014974881195522608
20250531,CNC,ELC,20,0.003172140561728004
20250531,CNC,ELC,21,0.003502175807261925
20250531,CNC,ELC,22,0.0016235724081496213
20250531,CNC,ELC,23,0.0011920057210113356
20250531,CNC,ELC,24,0.023100678763247298
20250531,CNC,ELC,25,0.0035952874765248595
20250531,CNC,ELC,26,0.020428921435194154
20250531,CNC,ELC,27,0.06124975854345922
20250531,CNC,ELC,28,0.050897683268036495
20250531,CNC,ELC,29,0.06787851223637463
20250531,CNC,ELC,30,0.07015418592789294
20250531,CNC,ELC,31,0.05167469309927608
20250531,CNC,ELC,32,0.04343513630224772
20250531,CNC,ELC,33,0.037772817138579697
20250531,CNC,ELC,34,0.04009396205608765
20250531,CNC,ELC,35,0.05580633933579787
20250531,CNC,ELC,36,0.01787976880667283
20250531,CNC,ELC,37,0.02343720975771789
20250531,CNC,ELC,38,0.02579194454445456
20250531,CNC,ELC,39,0.04350975688026537
20250531,CNC,ELC,40,0.030933917143240175
20250531,CNC,ELC,41,0.04224252502251115
20250531,CNC,ELC,42,0.015405464886861606
20250531,CNC,ELC,43,0.05763951917897246
20250531,CNC,ELC,44,0.09298072334685696
20250531,CNC,ELC,45,0.04525341782314677
20250531,CNC,ELC3,1,0.0019893888897019227
20250531,CNC,ELC3,2,0.0018714318455568114
20250531,CNC,ELC3,3,0.002718276459751261
20250531,CNC,ELC3,4,0.0036809021388781596
20250531,CNC,ELC3,5,0.004039605840550101
20250531,CNC,ELC3,6,0.006325504736007366
20250531,CNC,ELC3,7,0.004631540832341003
20250531,CNC,ELC3,8,0.004482399902941507
20250531,CNC,ELC3,9,0.0020152041740571654
20250531,CNC,ELC3,10,0.00860578062923471
20250531,CNC,ELC3,11,0.0019438536435289334
20250531,CNC,ELC3,12,0.0057829926614925645
20250531,CNC,ELC3,13,0.0035579033690960487
20250531,CNC,ELC3,14,0.0017641459508566184
20250531,CNC,ELC3,15,0.006409368742983562
20250531,CNC,ELC3,16,0.0047685985220539875
20250531,CNC,ELC3,17,0.0016725997773930415
20250531,CNC,ELC3,18,0.0015908962924537022
20250531,CNC,ELC3,19,0.0014974881195522608
20250531,CNC,ELC3,20,0.003172140561728004
20250531,CNC,ELC3,21,0.003502175807261925
20250531,CNC,ELC3,22,0.0016235724081496213
20250531,CNC,ELC3,23,0.0011920057210113356
20250531,CNC,ELC3,24,0.023100678763247298
20250531,CNC,ELC3,25,0.0035952874765248595
20250531,CNC,ELC3,26,0.020428921435194154
20250531,CNC,ELC3,27,0.06124975854345922
20250531,CNC,ELC3,28,0.050897683268036495
20250531,CNC,ELC3,29,0.06787851223637463
20250531,CNC,ELC3,30,0.07015418592789294
20250531,CNC,ELC3,31,0.05167469309927608
20250531,CNC,ELC3,32,0.04343513630224772
20250531,CNC,ELC3,33,0.037772817138579697
20250531,CNC,ELC3,34,0.04009396205608765
20250531,CNC,ELC3,35,0.05580633933579787
20250531,CNC,ELC3,36,0.01787976880667283
20250531,CNC,ELC3,37,0.02343720975771789
20250531,CNC,ELC3,38,0.02579194454445456
20250531,CNC,ELC3,39,0.04350975688026537
20250531,CNC,ELC3,40,0.030933917143240175
20250531,CNC,ELC3,41,0.04224252502251115
20250531,CNC,ELC3,42,0.015405464886861606
20250531,CNC,ELC3,43,0.05763951917897246
20250531,CNC,ELC3,44,0.09298072334685696
20250531,CNC,ELC3,45,0.04525341782314677
20250612,LMA,RTM,1,0.03323155324948464
20250612,LMA,RTM,2,0.020091359320434415
20250612,LMA,RTM,3,0.019571009684407843
20250612,LMA,RTM,4,0.02369167749937714
20250612,LMA,RTM,5,0.015875252445267104
20250612,LMA,RTM,6,0.024629918189253794
20250612,LMA,RTM,7,0.020865468850331238
20250612,LMA,RTM,8,0.02522488528670171
20250612,LMA,RTM,9,0.03694397394444433
20250612,LMA,RTM,10,0.025320690100296854
20250612,LMA,RTM,11,0.060258586192078745
20250612,LMA,RTM,12,0.04268160389957125
20250612,LMA,RTM,13,0.13308079435228126
20250612,LMA,RTM,14,0.024797314297958818
20250612,LMA,RTM,15,0.029277865312100405
20250612,LMA,RTM,16,0.017945101370078036
20250612,LMA,RTM,17,0.029347429934913516
20250612,LMA,RTM,18,0.013787217756292542
20250612,LMA,RTM,19,0.019347720527173776
20250612,LMA,RTM,20,0.028517525386929688
20250612,LMA,RTM,21,0.018680243819449258
20250612,LMA,RTM,22,0.015226894976888053
20250612,LMA,RTM,23,0.014890381551484057
20250612,LMA,RTM,24,0.03649982195410717
20250612,LMA,RTM,25,0.025038703823842122
20250612,LMA,RTM,26,0.025084948310856815
20250612,LMA,RTM,27,0.021430627194619384
20250612,LMA,RTM,28,0.013379449963972861
20250612,LMA,RTM,29,0.013865084633750958
20250612,LMA,RTM,30,0.008578162465753724
20250612,LMA,RTM,31,0.008719330256846167
20250612,LMA,RTM,32,0.008730706490859708
20250612,LMA,RTM,33,0.009064640719477548
20250612,LMA,RTM,34,0.010568246539798903
20250612,LMA,RTM,35,0.01378805355373669
20250612,LMA,RTM,36,0.006101327686388556
20250612,LMA,RTM,37,0.009502593043659491
20250612,LMA,RTM,38,0.010687488969850487
20250612,LMA,RTM,39,0.009646830789225019
20250612,LMA,RTM,40,0.011554891984259234
20250612,LMA,RTM,41,0.01728702460051034
20250612,LMA,RTM,42,0.0072583163198696775
20250612,LMA,RTM,43,0.00959952976954612
20250612,LMA,RTM,44,0.013672951316629564
20250612,LMA,RTM,45,0.016656801665240993
20250612,LMA,ELC,1,0.01611550742777323
20250612,LMA,ELC,2,0.016729930144890916
20250612,LMA,ELC,3,0.016920288381722784
20250612,LMA,ELC,4,0.015482441189233503
20250612,LMA,ELC,5,0.016874193590254515
20250612,LMA,ELC,6,0.017184460752860082
20250612,LMA,ELC,7,0.013462405842102145
20250612,LMA,ELC,8,0.01832175110158789
20250612,LMA,ELC,9,0.02199846609853872
20250612,LMA,ELC,10,0.025119464760231525
20250612,LMA,ELC,11,0.042598191627503446
